Articles,Contributions,Source,Annotation1,Annotation2,Same/Not,Labels,,,,,,,,,,,,,,,,,,,
Heuristics for interesting class association rule mining a colorectal cancer database,Our proposal remains focused and avoids the exponential curse of other alternatives.,IPM,Model Construction,Model Construction,1,Model Construction,,,,,,,,,,,,,,,,,,,
Heuristics for interesting class association rule mining a colorectal cancer database,Generated rule sets are more attractive for the subsequent expert inspection.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Heuristics for interesting class association rule mining a colorectal cancer database,Interesting descriptions of certain colorectal cancer cases were obtained.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Infection prediction using physiological and social data in social environments,Infection diagnosis is critical in social environments; otherwise diseases may spread fast.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Infection prediction using physiological and social data in social environments,Clinical decision support system was developed for infection diagnosis in nursing homes using small data; AUROC of 0.734 achieved.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Infection prediction using physiological and social data in social environments,"In small data environments, external sources of data can improve diagnosis performance with little cost.",IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Infection prediction using physiological and social data in social environments,"When considering additional data (social data and weather information), AUROC increases up to 0.798.",IPM,Model Optimization,Model Optimization,1,Model Optimization,,,,,,,,,,,,,,,,,,,
Infection prediction using physiological and social data in social environments,"For diagnosis, smaller leads (historical data) is preferred, but larger leads improve the results when adding social data.",IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Google trends identifying seasons of religious gathering: applied to investigate the correlation between crowding and flu outbreak,Umrah is a Religious ritual that can happen any time in the year. Many people gather in the holy city of Makkah in Saudi Arabia which represents a health hazard.,IPM,Resources,Resources,1,Resources,,,,,,,,,,,,,,,,,,,
Google trends identifying seasons of religious gathering: applied to investigate the correlation between crowding and flu outbreak,It is difficult to identify crowding seasons for Umrah.,IPM,Resources,Resources,1,Resources,,,,,,,,,,,,,,,,,,,
Google trends identifying seasons of religious gathering: applied to investigate the correlation between crowding and flu outbreak,Google Trends has been used in research to track people interest. It is used in this research to find Umrah monthly seasonality,IPM,Resources,Resources,1,Resources,,,,,,,,,,,,,,,,,,,
Google trends identifying seasons of religious gathering: applied to investigate the correlation between crowding and flu outbreak,Mass gathering is considered as intensifying factor for flu outbreaks,IPM,Resources,Resources,1,Resources,,,,,,,,,,,,,,,,,,,
Google trends identifying seasons of religious gathering: applied to investigate the correlation between crowding and flu outbreak,"In the Eastern Province of Saudi Arabia, there are seasons with more Umrah performers according to Google Trends. Mainly in the months of Rajab (7th month) and Ramadan (9th month), and ThuAlqidah (11th month) in the Islamic Lunar calendar.",IPM,Resources,Resources,1,Resources,,,,,,,,,,,,,,,,,,,
Google trends identifying seasons of religious gathering: applied to investigate the correlation between crowding and flu outbreak,The research found a correlation between these months and flu cases reported in the Province hospital. Peaks were noticed three months after seasons of gatherings,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Feature engineering vs. deep learning for paper section identification: Toward applications in Chinese medical literature,The paper provides a practical guideline on the effective features to use in the feature engineering paradigm for Chinese medical literature section identification. We also show that this traditional approach performs very well in this task as compared with deep learning methods,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Feature engineering vs. deep learning for paper section identification: Toward applications in Chinese medical literature,The paper shows that it is important to consider the dependencies between sentences for section identification in both feature engineering and deep learning approaches,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Feature engineering vs. deep learning for paper section identification: Toward applications in Chinese medical literature,"The deep learning model outperforms traditional models when this feature is considered. Although the dependencies of sentences are considered in previous feature engineering studies for section identification, they were not studied in a deep learning context. Moreover, most previous studies taking this approach are based on short texts, such as abstracts. Our study increases the generalizability of this finding to the full text of Chinese traditional medical documents",IPM,Model Optimization,Model Optimization,1,Model Optimization,,,,,,,,,,,,,,,,,,,
Feature engineering vs. deep learning for paper section identification: Toward applications in Chinese medical literature,"This paper proposes a SLSTM deep learning model that is very effective for section identification. While we believe there exist other more effective models to be explored in future research, our study shows the potential of this particular model, which may be applicable to other generic sentence classification problems.",IPM,Model Construction,Model Construction,1,Model Construction,,,,,,,,,,,,,,,,,,,
Configurable assembly of classification rules for enhancing entity resolution results,"We propose Rule Assembler, a configurable approach that is able to classify duplicate entities based on confidence scores, taking into account tunable parameters as well as user preferences;",IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Configurable assembly of classification rules for enhancing entity resolution results,"We propose four heuristics for turning the results produced by logical rules into confidence scores (i.e., a continuous quantification associated with the confidence produced by the rule regarding the duplicity of the entity pairs);",IPM,Algorithm or Method or Technology Optimization,Algorithm or Method or Technology Optimization,1,Algorithm or Method or Technology Optimization,,,,,,,,,,,,,,,,,,,
Configurable assembly of classification rules for enhancing entity resolution results,We propose a novel auto-tuning algorithm for classifying duplicate entities based on confidence scores;,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Configurable assembly of classification rules for enhancing entity resolution results,We propose an efficient algorithm for tuning the parameters of the Rule Assembler (considering scenarios in which training data is available);,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Configurable assembly of classification rules for enhancing entity resolution results,"We present an experimental evaluation of the proposed approach using both real-world and synthetic datasets, which indicates the usefulness and efficiency of the proposed approach, as well as its capacity to improve the results produced by baseline RbER algorithms in DNF and by the basic assembly approach (voting)",IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Which health and biomedical topics generate the most Facebook interest and the strongest citation relationships?,"Four biomedical areas, including general and internal medicine and complementary and alternative medicine receive more Facebook attention.",IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Which health and biomedical topics generate the most Facebook interest and the strongest citation relationships?,No biomedical areas receive little Facebook attention.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Which health and biomedical topics generate the most Facebook interest and the strongest citation relationships?,The relationship between Facebook mentions and citations varies by field and public interest.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Which health and biomedical topics generate the most Facebook interest and the strongest citation relationships?,Facebook mentions predict future citations less well for fields with variable public interest.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
A deep bi-directional prediction model for live streaming recommendation,We propose a model for live streaming recommendation to improve performance.,IPM,Model Construction,Model Construction,1,Model Construction,,,,,,,,,,,,,,,,,,,
A deep bi-directional prediction model for live streaming recommendation,We address the problem of how to simultaneously make predictions from both viewer and anchor sides.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
A deep bi-directional prediction model for live streaming recommendation,We develop multiple mechanisms to help the two sides learn from each other to enhance mutual learning.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
A deep bi-directional prediction model for live streaming recommendation,Experiment study demonstrates the effectiveness of the proposed model and mechanisms.,IPM,Model Optimization,Model Optimization,1,Model Optimization,,,,,,,,,,,,,,,,,,,
Understanding the determinants of online medical crowdfunding project success in China,The objective of this study is to systematically investigate the determinants of successful medical crowdfunding projects in China by conducting a mixed-methods approach.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Understanding the determinants of online medical crowdfunding project success in China,Health-related characteristics were found to be the most significant trigger influencing the success of medical crowdfunding in China.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Understanding the determinants of online medical crowdfunding project success in China,A number of demographic and social factors are also significantly related to the success of medical crowdfunding in China.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Understanding the determinants of online medical crowdfunding project success in China,The study sheds light on the localized practices of medical crowdfunding in China with global insights.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Amanuensis: Information provenance for health-data systems,Confidential information provenance for mHealth technologies.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Amanuensis: Information provenance for health-data systems,Distributed data management via consortium blockchains.,IPM,Resources,Resources,1,Resources,,,,,,,,,,,,,,,,,,,
Amanuensis: Information provenance for health-data systems,Confidential smart-contract execution via trusted execution environments.,IPM,Resources,Resources,1,Resources,,,,,,,,,,,,,,,,,,,
Transaction-based classification and detection approach for Ethereum smart contract,"research of data behavior generated by smart contracts and users in Ethereum, including the trend of Balance and the changes of Ether, transaction activities generated by users and smart contracts.",IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Transaction-based classification and detection approach for Ethereum smart contract,"based on our analysis of these contracts, we find that the transaction behavior has independent characteristics between different types of contracts",IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Transaction-based classification and detection approach for Ethereum smart contract,"We collected more than 10,000 smart contracts from Ethereum and manually analyzed the behavior of their transactions. We finally find out four behavior patterns that can help us to have a better understanding of the contracts’ transaction behavior, and they could be used to distinguish different types of contracts.",IPM,Resources,Resources,1,Resources,,,,,,,,,,,,,,,,,,,
Transaction-based classification and detection approach for Ethereum smart contract,"To further research on this topic, we constructed 14 basic features to describe the transaction behavior. They are time-series data and constructed based on the major activities of a contract.",IPM,Theory Proposal,Model Construction,0,Model Construction,,,,,,,,,,,,,,,,,,,
Transaction-based classification and detection approach for Ethereum smart contract,We propose a data slicing approach for slicing the collected smart contracts to solve the problem of insufficient datasets. Then we use them for training an LSTM network and the results show the effectiveness of our approach.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Research on pathways of expert finding on academic social networking sites,"In the academic context, focused on the peer seeking behavior in pages, movements and pathways from experimental situation.",IPM,Resources,Resources,1,Resources,,,,,,,,,,,,,,,,,,,
Research on pathways of expert finding on academic social networking sites,"Three types for pathways are identified by cluster analysis, combined with questionnaires and interviews.",IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Research on pathways of expert finding on academic social networking sites,The search intensions have an impact on the different pathways.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Research on pathways of expert finding on academic social networking sites,Implications for the interface design of ASNS are proposed based on the characteristics of searching process.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
VIDPSO: Victim item deletion based PSO inspired sensitive pattern hiding algorithm for dense datasets,his paper addresses the problem of victim item deletion based sensitive pattern hiding using PSO.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
VIDPSO: Victim item deletion based PSO inspired sensitive pattern hiding algorithm for dense datasets,"In VIDPSO algorithm, victim items are chosen based on their participation in sensitive patterns. The priority is given to the item appearing in more number of sensitive patterns. Hence, the deletion of one victim item from a specified number of transactions masks more than one sensitive pattern. Therefore, it incurs less data loss.",IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
VIDPSO: Victim item deletion based PSO inspired sensitive pattern hiding algorithm for dense datasets,"In the dense dataset, the support count values of itemsets are generally high. Therefore, a large number of transactions need to be deleted to hide sensitive itemsets, which causes high misses cost and data loss. The proposed algorithm hides the sensitive patterns from dense datasets with less data loss and misses cost.",IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
VIDPSO: Victim item deletion based PSO inspired sensitive pattern hiding algorithm for dense datasets,"The deletion of transactions reduces the size of the dataset and also the value of minimum support count. So, it does not reduce the support count of itemsets large enough to convert sensitive frequent itemsets into infrequent ones, which leads to high hiding failure, especially in dense datasets. Hence, VIDPSO proves to be an effective algorithm to hide sensitive itemsets.",IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
VIDPSO: Victim item deletion based PSO inspired sensitive pattern hiding algorithm for dense datasets,The proposed VIDPSO algorithm has more exploration capability gained by introducing the idea of traversing new paths (transactions) in the velocity updating method. It helps to find an optimal solution with fast convergence.,IPM,Model Construction,Model Construction,1,Model Construction,,,,,,,,,,,,,,,,,,,
Cochleogram-based approach for detecting perceived emotions in music,Emotion-based approach for efficient search and media management represents an important part of personalized music information retrieval.,IPM,Model Optimization,Model Optimization,1,Model Optimization,,,,,,,,,,,,,,,,,,,
Cochleogram-based approach for detecting perceived emotions in music,Efficient system for detecting affective music content on a dimensional model of emotions is developed.,IPM,Model Construction,Model Construction,1,Model Construction,,,,,,,,,,,,,,,,,,,
Cochleogram-based approach for detecting perceived emotions in music,Proposed approach uses human cochlear model and Convolutional neural network to extract relevant music features.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Cochleogram-based approach for detecting perceived emotions in music,The experimental results prove the effectiveness of our proposal in all aspects of music emotion recognition.,IPM,Model Optimization,Model Optimization,1,Model Optimization,,,,,,,,,,,,,,,,,,,
Transformative computing in advanced data analysis processes in the cloud,The transformative computing in advanced data analysis was proposed.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Transformative computing in advanced data analysis processes in the cloud,The advanced data analysis processes in different structures were described.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Transformative computing in advanced data analysis processes in the cloud,The possible application of transformative computing was presented,IPM,Applications,Applications,1,Applications,,,,,,,,,,,,,,,,,,,
MGAT: Multimodal Graph Attention Network for Recommendation,"We develop a new method MGAT, which incorporates attention mechanism into the graph neural network framework, to disentangle user preferences on different modalities.",IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
MGAT: Multimodal Graph Attention Network for Recommendation,"Technically, the model introduces the gated attention mechanism to control and weight the information flow in multimodal interaction graphs, which facilitates the understanding of user behaviors.",IPM,Model Construction,Model Construction,1,Model Construction,,,,,,,,,,,,,,,,,,,
MGAT: Multimodal Graph Attention Network for Recommendation,"We perform extensive experiments on two datasets to verify the rationality and effectiveness of MGAT. Moreover, because of user privacy, only user IDs are considered in this work. We will release the code and parameter settings upon acceptance.",IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Improved Breast Cancer Classification Through Combining Graph Convolutional Network and Convolutional Neural Network,"To increase the identification of cancerous lesions in mammograms,",IPM,Resources,Resources,1,Resources,,,,,,,,,,,,,,,,,,,
Improved Breast Cancer Classification Through Combining Graph Convolutional Network and Convolutional Neural Network,"Aimed to create the BDR-CNN-GCN system, which integrates multiple advanced neural networks they are graph convolutional network (GCN), convolutional neural network (CNN) & rank-based stochastic pooling (RSP) which are named as Net-0, Net-1…Net-5.",IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Improved Breast Cancer Classification Through Combining Graph Convolutional Network and Convolutional Neural Network,Among the six neural networks Net-5 is considered as the best as its results as good.,IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Rank-based self-training for graph convolutional networks,This problem is addressed using a novel self-training method for optimizing GCN accuracy on semi-supervised classification tasks.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Rank-based self-training for graph convolutional networks,A very optimistic study observations are identified using a margin score and a rank-based model. This framework can be used for a variety of GCNs.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Rank-based self-training for graph convolutional networks,Four GCN variants are taken into account in the analysis. Self-training on variations including its four GCN models yielded the highest performance for rank aggregation.,IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
A Selection Metric for semi-supervised learning based on neighborhood construction,"The aim is to solve the issues which occurs with semi supervised learning, it is which Semi-supervised learning involves using both labelled as well as unlabeled samples to learn.",IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
A Selection Metric for semi-supervised learning based on neighborhood construction,The need for a standard evaluation parameter regarding sampling from unlabeled data to derive relevant unlabeled data points is one of the key problems of semi-supervised learning.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
A Selection Metric for semi-supervised learning based on neighborhood construction,"For sampling from unlabeled data, the chosen strategy employs a neighborhood construction algorithm based on maximum data points and an Apollonius circle.",IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Glaucoma diagnosis in the Chinese context: An uncertainty information-centric Bayesian deep learning model,"Glaucoma is an eye disease, it can be ditected by experts but considering china it is tough as it has huge population. Even though automatic diagnosis procedures are discovered, still the major concern introduced here is how to increase the accuracy of automated diagnosis by taking complexity into account and extracting crucial details from multimodal data such as patient symptoms, photographs, and texts.",IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Glaucoma diagnosis in the Chinese context: An uncertainty information-centric Bayesian deep learning model,"The methods used to solve are Bayesian deep multisource learning (BDMSL) model, multisource learning.",IPM,Model Optimization,Model Optimization,1,Model Optimization,,,,,,,,,,,,,,,,,,,
Glaucoma diagnosis in the Chinese context: An uncertainty information-centric Bayesian deep learning model,"As per the results obtained from the data taken from an eye hospital in china, BDMSL model gives the accurate results after testing with both models.",IPM,Model Optimization,Model Optimization,1,Model Optimization,,,,,,,,,,,,,,,,,,,
A comparative study of effective approaches for Arabic sentiment analysis,"Arabic sentiment analysis has gotten more recognition, with several methods demonstrating considerable success in identifying sentiment through various datasets. The main concern here is to identify the most effective method so as to identify the major field limitations in Arabic sentiment analysis and recommend the far more pressing suggestions for future analysis in this field.",IPM,Model Construction,Model Construction,1,Model Construction,,,,,,,,,,,,,,,,,,,
A comparative study of effective approaches for Arabic sentiment analysis,BERT-based models for Arabic SA is applied and their conduct is differentiated with current SA techniques. Result is that using Arabic basic BERT is preferable.,IPM,Applications,Applications,1,Applications,,,,,,,,,,,,,,,,,,,
Assessing dynamic qualities of investor sentiments for stock recommendation,"While gathering sentiments and producing investment decisions, forecasting and estimating the characteristics of investor sentiments is a crucial challenge. Here in this article it is said to be proved that the importance of concluding that the characteristics of a single user's feelings against dissimilar stocks are not the same.",IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Assessing dynamic qualities of investor sentiments for stock recommendation,Proposed a novel method called correlation-based robust dynamic qualities (CBRDQ) to model the qualities of investor sentiments more accurately by considering the correlations among stocks.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Assessing dynamic qualities of investor sentiments for stock recommendation,"Based on a large-scale dataset from the real-world investor platform StockTwits, we evaluate CBRDQ and several conventional methods in a unifying stock recommendation framework",IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Accuracy-diversity trade-off in recommender systems via graph convolutions,Proposed a novel accuracy-diversity trade-off framework for RecSys via graph convolutions. The model operates on a NN graph to improve accuracy and on a FN graph to improve diversity.,IPM,Model Construction,Model Construction,1,Model Construction,,,,,,,,,,,,,,,,,,,
Accuracy-diversity trade-off in recommender systems via graph convolutions,We develop design strategies that estimate the joint model parameters in view of both accuracy and diversity.,IPM,Model Construction,Model Construction,1,Model Construction,,,,,,,,,,,,,,,,,,,
Accuracy-diversity trade-off in recommender systems via graph convolutions,We analyze the joint model in the graph-spectral domain to provide an alternative interpretation of how the proposed approach balances accuracy with diversity.,IPM,Model Optimization,Model Optimization,1,Model Optimization,,,,,,,,,,,,,,,,,,,
Accuracy-diversity trade-off in recommender systems via graph convolutions,"We evaluate two types of trade-offs: i) an accuracy-diversity trade-off w.r.t. catalog coverage (i.e., aggregated diversity), and ii) an accuracy-diversity trade-off w.r.t. list diversity (i.e., individual diversity).",IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
A neural topic model with word vectors and entity vectors for short texts,We first propose an unsupervised topic model named VAETM for short texts.,IPM,Model Construction,Model Construction,1,Model Construction,,,,,,,,,,,,,,,,,,,
A neural topic model with word vectors and entity vectors for short texts,We then consider label information in dataset to boost VAETM.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
A neural topic model with word vectors and entity vectors for short texts,A KL-divergence-based algorithm is used to infer approximate posterior distribution.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
A neural topic model with word vectors and entity vectors for short texts,Extensive experiments demonstrate our models outperform state-of-the-art baselines.,IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
A deep bi-directional prediction model for live streaming recommendation,We propose a model for live streaming recommendation to improve performance.,IPM,Model Optimization,Model Optimization,1,Model Optimization,,,,,,,,,,,,,,,,,,,
A deep bi-directional prediction model for live streaming recommendation,We address the problem of how to simultaneously make predictions from both viewer and anchor sides.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
A deep bi-directional prediction model for live streaming recommendation,We develop multiple mechanisms to help the two sides learn from each other to enhance mutual learning.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
A deep bi-directional prediction model for live streaming recommendation,Experiment study demonstrates the effectiveness of the proposed model and mechanisms.,IPM,Model Optimization,Model Optimization,1,Model Optimization,,,,,,,,,,,,,,,,,,,
Understanding the determinants of online medical crowdfunding project success in China,The objective of this study is to systematically investigate the determinants of successful medical crowdfunding projects in China by conducting a mixed-methods approach.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Understanding the determinants of online medical crowdfunding project success in China,A number of demographic and social factors are also significantly related to the success of medical crowdfunding in China.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Understanding the determinants of online medical crowdfunding project success in China,The study sheds light on the localized practices of medical crowdfunding in China with global insights.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Understanding the determinants of online medical crowdfunding project success in China,Health-related characteristics were found to be the most significant trigger influencing the success of medical crowdfunding in China.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Amanuensis: Information provenance for health-data systems,Confidential information provenance for mHealth technologies.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Amanuensis: Information provenance for health-data systems,Distributed data management via consortium blockchains.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Amanuensis: Information provenance for health-data systems,Confidential smart-contract execution via trusted execution environments.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Transaction-based classification and detection approach for Ethereum smart contract,"We collected more than 10,000 smart contracts from Ethereum and manually analyzed the behavior of their transactions. We finally find out four behavior patterns that can help us to have a better understanding of the contracts’ transaction behavior, and they could be used to distinguish different types of contracts.",IPM,Resources,Resources,1,Resources,,,,,,,,,,,,,,,,,,,
Transaction-based classification and detection approach for Ethereum smart contract,"To further research on this topic, we constructed 14 basic features to describe the transaction behavior. They are time-series data and constructed based on the major activities of a contract.",IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Transaction-based classification and detection approach for Ethereum smart contract,We propose a data slicing approach for slicing the collected smart contracts to solve the problem of insufficient datasets. Then we use them for training an LSTM network and the results show the effectiveness of our approach.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
Blockchain-based authentication and authorization for smart city applications,The decentralized management of the security-related information in the smart city ecosystem is discussed.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Blockchain-based authentication and authorization for smart city applications,Blockchain-based identity management and access control is integrated within FIWARE,IPM,Applications,Applications,1,Applications,,,,,,,,,,,,,,,,,,,
Blockchain-based authentication and authorization for smart city applications,The comparison of the proposed approach with the one using databases has been presented.,IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Discovering web services in social web service repositories using deep variational autoencoders,We explore the use of Variational Autoencoders for syntactic Web Service discovery.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Discovering web services in social web service repositories using deep variational autoencoders,"We evaluate our approach using a 17113-service dataset, the largest among the research community.",IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
Discovering web services in social web service repositories using deep variational autoencoders,"Our approach outperforms service engines based on traditional dimensionality reduction techniques (LSA, LDA).",IPM,Model Optimization,Model Optimization,1,Model Optimization,,,,,,,,,,,,,,,,,,,
Discovering web services in social web service repositories using deep variational autoencoders,Our approach outperforms service engines based on Word Embeddings.,IPM,Model Optimization,Model Optimization,1,Model Optimization,,,,,,,,,,,,,,,,,,,
Discovering web services in social web service repositories using deep variational autoencoders,Average query processing times and VAE training times confirm that our approach is viable in practice.,IPM,Performance Evaluation,Performance Evaluation,1,Performance Evaluation,,,,,,,,,,,,,,,,,,,
How can wikipedia be used to support the process of automatically building multilingual domain modules? a case study.,Benefits of wikipedia for the automatic generation of educational domain modules.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
How can wikipedia be used to support the process of automatically building multilingual domain modules? a case study.,A new representation formalism for multilingual domain modules.,IPM,New Algorithm or Method or Technology,New Algorithm or Method or Technology,1,New Algorithm or Method or Technology,,,,,,,,,,,,,,,,,,,
How can wikipedia be used to support the process of automatically building multilingual domain modules? a case study.,Characteristics of wikipedia for identifying multilingual domain topics.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
How can wikipedia be used to support the process of automatically building multilingual domain modules? a case study.,Characteristics of wikipedia for identifying pedagogical relationships among topics.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
How can wikipedia be used to support the process of automatically building multilingual domain modules? a case study.,Characteristics of wikipedia for identifying multilingual learning objects.,IPM,Theory Proposal,Theory Proposal,1,Theory Proposal,,,,,,,,,,,,,,,,,,,
Deep sentiments in Roman Urdu text using Recurrent Convolutional Neural Network model,"This study contributes to generating the Roman Urdu corpus by annotating 10,021 reviews for the task of sentiment analysis.",IPM,Dataset Creation,Dataset Creation,1,Dataset Creation,,,,,,,,,,,,,,,,,,,
