Contributions,Source,Labels,,,,
"We collected a large corpus for this purpose, composed of thousands of books and newspapers published in France between 1789 and 1914",ACL,Dataset Creation,,,,
"we present DiaHClust, a new approach which can be used to identify stages in diachronic change based on quantitative corpusderived data",ACL,New Algorithm or Method or Technology,,,,
"we propose an approach that fits additional, theoretically informative parameters to configure a mixture of embeddings",ACL,New Algorithm or Method or Technology,,,,
We propose a novel method to investigate the pace of language change based on the entire embedding matrix,ACL,New Algorithm or Method or Technology,,,,
"I propose that as words immigrate to new syntactic environments over time, they tend to push out words that populated these environments prior to immigration",ACL,New Algorithm or Method or Technology,,,,
we investigate semantic change across languages by measuring the semantic distance of cognate words in multiple languages,ACL,Performance Evaluation,,,,
Verify that the represented temporal change reflects syntax rather than simply word frequency.,ACL,Theory Proposal,,,,
"The paper showcases the application of word embeddings to change in language use in the domain of science, focusing on the Late Modern English period",ACL,Theory Proposal,,,,
we model the contact possibility based on two of the most important factors in sociolinguistics to be affecting language change: age and distance,ACL,Model Optimization,,,,
We reformulate the well-known word analogy task such that multiple correct answers or no correct answer at all become possible,ACL,Theory Proposal,,,,
We process historical armed conflicts data and present it as a ready-to-use evaluation set,ACL,Dataset Creation,,,,
we show that our learned cosine threshold approach can significantly improve the temporal one-to-X analogies performance by filtering out false positives.,ACL,Model Optimization,,,,
"we investigate on is there a general trend in human languages which makes evaluative adjectives change
more intensely over time",ACL,Performance Evaluation,,,,
we investigate to what extent diachronic semantic change occurs in the Hansard record by examining the contexts in which words appear during two different periods in the corpus,ACL,Performance Evaluation,,,,
"we illustrate this importance and propose methods that take these risks into account
when investigating conceptual change using word
embeddings.",ACL,New Algorithm or Method or Technology,,,,
we present the first study on the compositionality of compounds over time.,ACL,Theory Proposal,,,,
we introduce a linguistic classification that allows to better characterize the variants than edit operations,ACL,Model Construction,,,,
we propose to focus on a specific concept—that of Circular Economy (CE).,ACL,Theory Proposal,,,,
This paper proposes a Gaussian Process model of sound change targeted toward questions in Indo-Aryan dialectology,ACL,Model Construction,,,,
"we apply computational methods, to the extent that it is possible, to gain insight into the nature of language change that occurred in historical West-Frisian, a lesser-used language spoken in the Dutch province of Fryslan",ACL,New Algorithm or Method or Technology,,,,
"This paper presents a significant extension of HistoBankVis, a multilayer visualization system which allows a fast and interactive exploration of complex linguistic data",ACL,Model Construction,,,,
we implement a new query strategy for selecting “unlabeled” instances from a target domain and investigate its effect on fine-tuning a generic NMT model,ACL,Dataset Creation,,,,
This paper compares morphologyaware DA word segmentation to other word segmentation approaches like Byte Pair Encoding (BPE) and Sub-word Regularization (SR).,ACL,Theory Proposal,,,,
we investigate the possibility of using POS tagging to improve word-level language identification for diglossic Arabic in a deep-learning system,ACL,Performance Evaluation,,,,
we present syntax-ignorant n-gram embeddings to be used in sentiment analysis of several Arabic dialects,ACL,New Algorithm or Method or Technology,,,,
we propose six Arabic-English cross-lingual word embedding models,ACL,Model Construction,,,,
We introduce automatic selective diacritization as a viable step in lexical disambiguation and provide an encouraging baseline for future developments towards optimal diacritization,ACL,New Algorithm or Method or Technology,,,,
We propose several unsupervised data-driven methods for the automatic identification of ambiguous words,ACL,New Algorithm or Method or Technology,,,,
We evaluate and analyze the impact of partial sense disambiguation (i.e. selective diacritic restoration of identified homographs) in downstream applications for MSA.,ACL,New Algorithm or Method or Technology,,,,
" The proposed model
integrates various tailored techniques together,
including representation learning, feature engineering, sequence labeling, and ensemble
learning.",ACL,Model Construction,,,,
we aim at advancing performance and generalization capabilities of Arabic NLP tasks by developing new ULMs for Arabic,ACL,Resources,,,,
"We develop the first Arabic specific ULM model, called hULMonA",ACL,Resources,,,,
We introduce a newly built (small) ALG dataset for STS.,ACL,Model Construction,,,,
"We compare the performance of different DNN configurations on this dataset, namely: various combinations of Recurrent Neural NetworksConvolutional Neural Networks (CNNs),
pre-training of embeddings, including a replication of two new state-of-the art attention models.",ACL,Performance Evaluation,,,,
we propose to leverage this sequential substructure to improve the root extraction process and morphological decomposition,ACL,Model Optimization,,,,
"we investigate the effect of different Arabic segmentation schemes, sentence length and embedding sizes on learning Arabic-English (Ar-En) Bilingual word embeddings",ACL,Model Optimization,,,,
"Crowdsourced Arabic Reading Comprehension Dataset (ARCD) of 1,395 questions, and translated Arabic-SQuAD: 48k translated questions",ACL,Dataset Creation,,,,
"End-toend system for open domain Arabic questions using a hierarchical TF-IDF retriever, BERT and linear answer ranking",ACL,Resources,,,,
"we show how NLP applications
can scale up their performance on dialectal data by
integrating a basic and simple preprocessing step,
i.e. segmentation",ACL,Performance Evaluation,,,,
"we propose a semi-supervised deep learning approach, which we refer to as deep co-learning.",ACL,New Algorithm or Method or Technology,,,,
"We present a collection of morphologically annotated corpora for seven Arabic
dialects",ACL,Theory Proposal,,,,
This paper reports on the construction and annotation of a comprehensive 100-million-word corpus of contemporary Arabic,ACL,New Algorithm or Method or Technology,,,,
our goal is building an ArabicTurkish machine translation on the news domain,ACL,Theory Proposal,,,,
we propose the use of domain adaptation to address this challenge while considering the task of sentiment analysis (SA) also referred to as Opinion Mining (OM).,ACL,New Algorithm or Method or Technology,,,,
This paper presents the first version of the Open Source International Arabic News (OSIAN) corpus.,ACL,Theory Proposal,,,,
we proposed speech act classification for asynchronous conversations on Twitter using multiple machine learning methods including SVM and deep neural networks,ACL,New Algorithm or Method or Technology,,,,
"we present Mazajak , an Online Arabic sentiment analysis system that utilises deep learning and massive Arabic word embeddings",ACL,Resources,,,,
we present the results and findings of the MADAR Shared Task on Arabic Fine Grained Dialect Identification,ACL,Applications,,,,
We propose a simple classification approach that only utilizes word and character n-grams using Na¨ıve Bayes learning model.,ACL,Model Construction,,,,
the relationships between entities in an image by utilizing only image captions and object locations as the source of supervision,ACL,New Algorithm or Method or Technology,,,,
"we study multimodal summarization with various methods to summarize the intent of open-domain instructional videos stating the exclusive and unique features of the video, irrespective of modality",ACL,Model Optimization,,,,
"we (i) collect human edits for machine-generated stories from two different state-of-the-art models, (ii) analyze what people edited, and (iii) advance the task of visual story post-editing",ACL,Performance Evaluation,,,,
This technique can greatly reduce the workload of radiologists for interpreting CXR images and writing corresponding reports.,ACL,Algorithm or Method or Technology Optimization,,,,
"an end-to-end model that extends the standard Transformer network (Vaswani et al., 2017) to learn representations directly from unaligned multimodal streams",ACL,Model Construction,,,,
"we introduce a high-level object-based visual representation to ground language into visual context in a more generalizable way, using the symbolic output of a pretrained object detection system",ACL,New Algorithm or Method or Technology,,,,
"This is done by building on the Word Mover’s Distance (WMD) metric, which measures the distance between two texts in a word embeddings space. Another contribution is the extension of WMD to allow for multiple references to be used to model object importance",ACL,Performance Evaluation,,,,
: (i) a novel approach to MMT based on deliberation networks and structured visual information which gives state of the art results (Sections 3.2 and 5.1); (ii) a frequency bias-free investigation on the need for visual context in MMT (Sections 4.2 and 5.2); and (iii) a thorough investigation on different visual sual representations for transformer-based architectures,ACL,New Algorithm or Method or Technology,,,,
we propose to construct an imagegrounded vocabulary as a way to leverage the image semantics for image captioning,ACL,New Algorithm or Method or Technology,,,,
"the Collaborative Drawing (CoDraw) task, which combines grounded language understanding and learning effective goal-driven communication into a single, unified testbed",ACL,New Algorithm or Method or Technology,,,,
"leveraging upstream models that are capable of producing fine-grained entity names, and integrating them in a controlled manner to produce captions that are both fluent and highly informative",ACL,Model Optimization,,,,
"a novel attention mechanism that consumes a word lattice and the probability scores from the ASR system. ii) The proposed approach is naturally applied to both the encoder self-attention and encoder-decoder attention. iii) Another appealing feature is that the lattice transformer can be reduced to standard latticeto-sequence model without probability scores, fitting the text translation task. iv) Extensive experiments on speech translation datasets demonstrate that our method outperforms the previous transformer and Lattice-LSTMs",ACL,Algorithm or Method or Technology Optimization,,,,
(i) We propose a ReDAN framework that supports multi-step reasoning for visual dialog. (ii) We introduce a simple rank aggregation method to combine the ranking results of discriminative and generative models to further boost the performance. (iii) Comprehensive evaluation and visualization analysis demonstrate the effectiveness of our model in inferring answers progressively through iterative reasoning steps,ACL,New Algorithm or Method or Technology,,,,
"to encourage the model to learn speech representations which are correlated with the encoding of spoken language as a sequence of characters. Additionally, and for completeness, we also consider a second auxiliary task matching text to images.",ACL,Model Construction,,,,
• An end-to-end architecture for goal-oriented visual dialogue combining Information Gain with Reinforcement Learning. • A novel reward function for goal-oriented visual question generation to model long-term dependencies in dialogue. • Both versions of our model outperform the current baselines on the GuessWhat?! dataset for the task of identifying an undisclosed object in an image by asking a series of questions.,ACL,Model Construction,,,,
"generating text as a sequence of segments, where each segment is generated either character-by-character from a sequence model or as a single draw from a lexical memory of multi-character units. The segmentation decisions and decisions about how to generate words are not observed in the training data and marginalized during learning using a dynamic programming algorithm",ACL,Model Optimization,,,,
"(1) a procedure for collecting visually rich images paired with semantically-diverse language descriptions; (2) NLVR2, which contains 107,292 examples of captions and image pairs, including 29,680 unique sentences and 127,502 images",ACL,New Algorithm or Method or Technology,,,,
we use an implicit data gathering approach to label human activities in videos.,ACL,New Algorithm or Method or Technology,,,,
"our latent variable MMT formulation improves considerably over strong baselines, and compares favourably to the state-of-the-art. • we exploit correlations between both modalities at training time through a joint generative approach and do not require images at prediction time.",ACL,Theory Proposal,,,,
"1. We propose a model fusing transcript of narrated instructional video during procedure extraction and captioning. 2. We employ the pre-trained BERT(Devlin et al., 2018) and self-attention(Vaswani et al., 2017) layer to embed transcript, and then integrate them to visual encoding during procedure extraction. 3. We adopt the sequence-to-sequence model to generate captions by merging tokens of the transcript with the aligned video frames.",ACL,Model Construction,,,,
"We introduce a uniqueness measure to evaluate topic quality more wholistically. • W-LDA produces significantly better quality topics than existing topic models in terms of topic coherence and uniqueness. • We experiment with both the WAE-GAN and WAE-MMD variants (Tolstikhin et al., 2017) for distribution matching and demonstrate key performance advantage of the latter with a carefully chosen kernel, especially in high dimensional settings. • We discover a novel technique of adding noise to W-LDA to significantly boost topic coherence. This technique can potentially be applied to WAE in general and is of independent interest.",ACL,Performance Evaluation,,,,
". Using a qualitative analysis, we further show that RAT works as a regularizer and prohibits NMT to overfit to TC vocabulary",ACL,Performance Evaluation,,,,
We explore possible explanations for the finding that the relative performance of fine-tuning vs. feature extraction depends on the similarity of the pretraining and target tasks and provide a set of adaptation guidelines for the NLP practitioner.,ACL,Theory Proposal,,,,
"We propose a novel approach to handle the discrete nature of text, during training, using word embeddings.",ACL,New Algorithm or Method or Technology,,,,
"In this paper, we explore a multilingual translation model with a cross-lingually shared layer that can be used as fixed-size sentence representation in different downstream tasks.",ACL,Model Construction,,,,
we present a multilingual translation system that efficiently tackles the task of learning language-agnostic sentence representations,ACL,New Algorithm or Method or Technology,,,,
In this article we propose an adaptation of Doubly Stochastic Variational Inference for Automatic Relevance Determination (DSVIARD) for neural networks compression.,ACL,Performance Evaluation,,,,
"We introduce a simple yet effective, self-supervised post-processing method that constructs task-specialized word representations by picking from a menu of reconstructing transformations to yield improved end-task performance (MORTY)",ACL,New Algorithm or Method or Technology,,,,
"we compile several key pitfalls of evaluation of sentence embeddings, a currently very popular NLP paradigm",ACL,Performance Evaluation,,,,
We propose a novel model architecture and training algorithm to learn bilingual sentence embeddings from a combination of parallel and monolingual data,ACL,New Algorithm or Method or Technology,,,,
"In this work, we present POSTLE, an all-words post-specialization model for the asymmetric LE relation",ACL,Model Construction,,,,
we propose two novel constraints for composing linguistically informed and intuitively explainable noun phrase representations and show how these approaches could benefit future composition methods.,ACL,Model Construction,,,,
We apply pre-trained language models to low-resource named entity recognition for Historic German.,ACL,New Algorithm or Method or Technology,,,,
"We propose a simple entity-pair ranking (PR) protocol (PR), which is more suitable to assess model performance for KBC.",ACL,New Algorithm or Method or Technology,,,,
"We propose a novel supertagger based on the Transformer architecture (Vaswani et al., 2017) that is capable of constructing categories inductively, bypassing the aforementioned limitations.",ACL,Algorithm or Method or Technology Optimization,,,,
"In this work, we introduce a deep generative model that generates source and target sentences jointly from a shared latent representation",ACL,Model Construction,,,,
"In this paper, we propose BilLex (Bilingual Word Embeddings Based on Lexical Definitions) to learn bilingual word embeddings.",ACL,New Algorithm or Method or Technology,,,,
We empirically study how pre-trained embeddings and language models perform when used to analyze text from social media.,ACL,Theory Proposal,,,,
This paper extends the task of probing sentence representations for linguistic insight in a multilingual domain.,ACL,Resources,,,,
We develop a fine-grained entity typing model that embeds both entity types and entity mentions in hyperbolic space.,ACL,Theory Proposal,,,,
We propose to generate multilingual metarepresentations from pre-trained monolingual word embeddings. The model can learn how to construct the best word representation by mixing multiple sources without explicit language identification.,ACL,Model Construction,,,,
"we explore and evaluate several sub-word unit based embedding strategies – character n-grams, lemmatization provided by an NLP-pipeline, and segments obtained in unsupervised learning (morfessor) – to boost semantic consistency in Hungarian word vectors.",ACL,Performance Evaluation,,,,
"The method we propose, learns discriminative features from both an autoencoder and a sentence embedding, then uses assignments from a clustering algorithm as supervision to update weights of the encoder network",ACL,Algorithm or Method or Technology Optimization,,,,
"In this paper, we introduce a new approach to warm-start embedding models with morphological information, in order to reduce training time and enhance their performance.",ACL,New Algorithm or Method or Technology,,,,
"In this paper, we aim to gain a better insight into the inner workings of recurrent models with respect to incrementality while taking inspiration from and drawing parallels to this psycholinguistic perspective.",ACL,Model Construction,,,,
In this paper we investigate how representing adversarial training models as committees can be used to effectively improve the performance of QuestionAnswer (QA) Ranking.,ACL,Model Construction,,,,
"We propose to consider lifelong relation extraction as a metalearning challenge, to which the machinery of current optimization-based meta-learning algorithms can be applied",ACL,Theory Proposal,,,,
"In this paper, we investigate the best practices for constructing the seed dictionary for a specific domain.",ACL,Performance Evaluation,,,,
"we present a novel technique that efficiently combines PCA based dimensionality reduction with a recently proposed post-processing algorithm (Mu and Viswanath, 2018), to construct effective word embeddings of lower dimensions",ACL,Theory Proposal,,,,
We present a modified skip-gram negative sampling algorithm that produces related word and context vectors.,ACL,New Algorithm or Method or Technology,,,,
"We present a novel approach for cross-lingual representation learning that combines methods for multi-task learning of monolingual sentence representations (Cer et al., 2018; Subramanian et al., 2018) with recent work on dual encoder methods for obtaining multilingual sentence representations for bi-text retrieval (Guo et al., 2018; Yang et al., 2019).",ACL,New Algorithm or Method or Technology,,,,
"We propose a novel method, Modality-based Redundancy Reduction Fusion (MRRF), for understanding and modulating the relative contribution of each modality in multimodal inference tasks",ACL,New Algorithm or Method or Technology,,,,
we present the results of our experiments on learning a simple multi-task neural network model for partof-speech and semantic tagging for Welsh using a pre-trained embedding model from FastText.,ACL,Model Construction,,,,
In this paper we discuss different definitions of fairness and possible ways to apply them to educational applications.,ACL,Applications,,,,
"we propose a method for estimating the difficulty of MCQs from a high-stakes medical exam, where all questions were deliberately written to a common reading level.",ACL,New Algorithm or Method or Technology,,,,
we propose a novel testing strategy by combining automatic item generation (AIG) and computerized adaptive testing (CAT) in vocabulary assessment for Chinese L2 learners.,ACL,Performance Evaluation,,,,
"we  explore the use of computational linguistic methods to investigate how taskappropriate complexity and accuracy relate to the grading of overall performance, content performance, and language performance as assigned by teachers.",ACL,Performance Evaluation,,,,
In this paper we present a model for automatic scoring of summaries based on analysing a rhetorical structure of a student’s summary compared to that of reference summaries.,ACL,Model Construction,,,,
This paper reports on the BEA-2019 Shared Task on Grammatical Error Correction (GEC).,ACL,Resources,,,,
This paper addresses automatic correction of spelling errors where the misspelled string is not a valid word in the language.,ACL,Performance Evaluation,,,,
The present study explores how fluency filtering can affect the quality of artificial errors.,ACL,Performance Evaluation,,,,
In this paper we present first results for automated essay scoring of Norwegian learner language.,ACL,Performance Evaluation,,,,
"In this paper, we perform a systematic comparison of ELMo, BERT and Flair embeddings on a range of public GED datasets, and propose an approach to effectively integrate such representations in current methods, achieving a new state of the art on GED.",ACL,Performance Evaluation,,,,
We formulate precise hypotheses about the possible effects of adding character representations to word-based models and test these hypotheses on large-scale real-world content scoring datasets.,ACL,Performance Evaluation,,,,
"In this paper, we up the ante by exploring the potential of more sophisticated language models in GEC and offer some key insights on their strengths and weaknesses.",ACL,Model Optimization,,,,
We introduce unsupervised techniques based on phrase-based statistical machine translation for grammatical error correction (GEC) trained on a pseudo learner corpus created by Google Translation.,ACL,Model Construction,,,,
"We propose a new method for combining systems (§4) that can combine many systems and relies solely on their output, i.e., it uses systems as a black-box.",ACL,New Algorithm or Method or Technology,,,,
"In this work, we investigate a similar approach by systematically generating parallel data for pretraining.",ACL,Dataset Creation,,,,
This paper describes our two systems for the three tracks in the BEA-2019 GEC Shared Task,ACL,Algorithm or Method or Technology Optimization,,,,
This paper presents the contributions from the Cambridge University Engineering Department to the latest GEC competition at the BEA 2019 workshop.,ACL,Resources,,,,
We introduce the AIP-Tohoku grammatical error correction (GEC) system for the BEA2019 shared task in Track 1 (Restricted Track) and Track 2 (Unrestricted Track) using the same system architecture,ACL,New Algorithm or Method or Technology,,,,
"In this paper, we present our models and their results in the restricted, unrestricted, and lowresource tracks.",ACL,Model Construction,,,,
"In the following, we present our low-resource approach to GEC, which ranked as the 6th best performing system in the low-resource 192 track of the BEA 2019 shared task.",ACL,Model Construction,,,,
"In this paper, we describe the submissions from the group of Beijing Language and Culture University (BLCU) in the first two tracks.",ACL,Applications,,,,
we propose to finetune BERT on learner corpora with grammatical errors for re-ranking.,ACL,New Algorithm or Method or Technology,,,,
"In this paper, we introduce a neural GEC system that combines the power of pre-training and transfer learning.",ACL,Model Construction,,,,
We present a system pipeline that utilises both error detection and correction models.,ACL,New Algorithm or Method or Technology,,,,
we explore two approaches of generating error-focused phrases and examine whether these phrases can lead to better performance in grammatical error correction for the restricted track of BEA 2019 Shared Task on GEC.,ACL,Algorithm or Method or Technology Optimization,,,,
we suggest an alternative approach for GEC with “Multi-headed” architecture that uses BERT as Encoder and specialized “Heads” networks enabling additional text processing based on particular error types.,ACL,Algorithm or Method or Technology Optimization,,,,
we propose a simple and surprisingly effective unsupervised synthetic error generation method based on confusion sets extracted from a spellchecker to increase the amount of training data,ACL,New Algorithm or Method or Technology,,,,
"This paper compares three end-to-end resources for collocation learning, all of which used the same corpus but different methods",ACL,Resources,,,,
The experiments presented in this paper aim to analyze how much each of these phenomena reveal about the L2 speaker’s native language,ACL,Theory Proposal,,,,
we present a novel method based on deep learning applied to the task of automatic prerequisite relations identification between concepts to automatically create pedagogically motivated sequences of LOs.,ACL,New Algorithm or Method or Technology,,,,
our study develops an example sentence retrieval system with grammatical error detection using the large-scale Lang-8 dataset for JSL by focusing on the usability of automatic incorrect example retrieval.,ACL,Model Construction,,,,
we propose an automated algorithm which provides feedback about the specific content of non-native English speakers’ spoken responses.,ACL,Resources,,,,
This paper provides an analytical assessment of student short answer responses with a view to potential benefits in pedagogical contexts.,ACL,Theory Proposal,,,,
we discuss leveraging this observation in our efforts to build audio-visual content for young learners’ vocabulary learning.,ACL,Algorithm or Method or Technology Optimization,,,,
"we discuss our system, Curio SmartChat for self-paced K-12 learning through Question Answering as a mode",ACL,Model Construction,,,,
This paper proposes a support tool for evaluating student summaries in terms of their contents by suggesting the links between the ideas of a source text and its summary.,ACL,Theory Proposal,,,,
"we take first steps towards understanding the relation between expert annotations, reader proficiency and comprehension for automatic readability assessment research by conducting a web-based reading study with over 100 participants in a natural reading environment.",ACL,Performance Evaluation,,,,
we assess the effectiveness of an automatic classification tool for the evaluation of text complexity in Italian,ACL,Performance Evaluation,,,,
"Our goal is to create a machine teacher that can detect and exploit situations where incidental learning can occur in narrative text (stories, articles etc.).",ACL,Theory Proposal,,,,
We track the development of writing complexity and accuracy in German students’ early academic language development from first to eighth grade.,ACL,Applications,,,,
We developed an automated oral proficiency scoring system for non-native English speakers’ spontaneous speech,ACL,New Algorithm or Method or Technology,,,,
"we build a system that learns relationships between LOs, and we achieve up to human-level performance in the LO relationship extraction task.",ACL,New Algorithm or Method or Technology,,,,
"we study several simplistic machine understanding systems, described in § 2.4 and empirically examine the correlation between their performance and the actual complexity of texts, measured by humans (see § 3).",ACL,Algorithm or Method or Technology Optimization,,,,
In this paper we investigate metaphors in the context of news texts simplification.,ACL,Model Optimization,,,,
"This paper presents a roadmap for now incorporating equity into the design, evaluation, and implementation of those systems",ACL,Performance Evaluation,,,,
" In this paper, we go one step further, assisting students to learn to use confusing words appropriately in a productive task: sentence translation.",ACL,Theory Proposal,,,,
"we propose a tool, Dexter, that extracts a subjectspecific corpus from a heterogeneous corpus, such as Wikipedia, by relying on a small seed corpus and distributed document representations.",ACL,Resources,,,,
"we investigate how effective are different model architectures in generating artificial, parallel data to improve a GEC model.",ACL,Model Optimization,,,,
"This paper explores network structures, contextualized embeddings and pre-training strategies aimed at capturing discourse characteristics of essays",ACL,Resources,,,,
"we present a simple and effective method for assessing the proficiency of language learners, as well as the difficulty of linguistic concepts, by utilizing the Elo formula, (Elo, 1978)— in an unsupervised fashion.",ACL,New Algorithm or Method or Technology,,,,
"We present a unique dataset of student sourcebased argument essays to facilitate research on the relations between content, argumentation skills, and assessment",ACL,Dataset Creation,,,,
"we designed a principled framework of boosting response generation,
based on the recently developed theory of boosting generative models",ACL,New Algorithm or Method or Technology,,,,
"we propose an adversarial training algorithm to learn two sets
of better word weights which contribute to
two emotion dimensions in two attention layers.",ACL,New Algorithm or Method or Technology,,,,
"Two auxiliary tasks are designed to enhance
the labeling of ATE and ASC, and an extra
RNN cell ReGU is proposed to improve the
capability of feature extraction.",ACL,Algorithm or Method or Technology Optimization,,,,
"we propose an approach that provides an
entity-level representation in a simple and intuitive
manner, and also facilitates end-to-end optimization.",ACL,New Algorithm or Method or Technology,,,,
"We analyze the discriminative features that
help the best performing method, string kernels, in (i) distinguishing the Moldavian and
the Romanian dialects and in (ii) categorizing the text samples by topic.",ACL,Algorithm or Method or Technology Optimization,,,,
we focus on the transferability of our methods from biased datasets to ones having different or no biases.,ACL,New Algorithm or Method or Technology,,,,
We propose a Siamese neural network architecture shown to outperform several baselines on both a prior convincingness data set and our own.,ACL,Algorithm or Method or Technology Optimization,,,,
"We propose a new task: emotion-cause pair extraction (ECPE). It solves the shortcomings of the traditional ECE task that depends on the annotation of emotion before extracting cause, and allows emotion cause analysis to be applied to real-world scenarios.",ACL,Algorithm or Method or Technology Optimization,,,,
"we introduce a new word replacement order determined by both the word saliency and the classification probability, and propose a greedy algorithm called probability weighted word saliency (PWWS) for text adversarial attack.",ACL,Algorithm or Method or Technology Optimization,,,,
we propose a strong unsupervised system for parallel sentence mining and show that the mined data improves the performance of unsupervised MT systems.,ACL,Algorithm or Method or Technology Optimization,,,,
"We propose a simple algorithm on top of these parses that allows us to control the average chunk size, which in turn limits the number of autoregressive decoding steps we have to perform.",ACL,New Algorithm or Method or Technology,,,,
"We introduce a “Co-curricular learning”, for transfer learning across data quality. It extends the single curriculum learning work in NMT and makes
the existing domain-data selection method
work better with noisy data.",ACL,Theory Proposal,,,,
"we propose an imitation learning framework for nonautoregressive machine translation, which still enjoys the fast translation speed but gives comparable translation performance compared to its auto-regressive counterpart.",ACL,New Algorithm or Method or Technology,,,,
"We extend the recently-proposed Average Lagging latency metric, making it differentiable and calculable in expectation, which allows it to be used as a training objective.",ACL,New Algorithm or Method or Technology,,,,
"Our ARNOR framework achieves significant improvement over state-of-the-art noise reduction methods, in terms of both RC performance and noise reduction effect.",ACL,Algorithm or Method or Technology Optimization,,,,
"We evaluate our method even with contextual embeddings. The relative performance of
the adaptation alternatives remain fairly stable whether the adapted embeddings are used
on their own, or concatenated with contextsensitive embeddings",ACL,Performance Evaluation,,,,
Our aim in this paper is to integrate the advantages of TMs into NMT systems in order to improve MT quality by utilizing existing translations for highly similar source sentences in a given TM,ACL,Applications,,,,
"we attempt to obtain diverse translations by using sentence codes to condition the sentence generation. We describe two methods to extract the codes, either with or without the help of syntax information.",ACL,Algorithm or Method or Technology Optimization,,,,
"we propose a method to distill the important domain signal as part of a multi-domain learning system, using a latent variable model in which parts of a neural model are stochastically gated based on the inferred domain.",ACL,New Algorithm or Method or Technology,,,,
"we propose a new head-modifier templatebased method to improve the readability and data fidelity of generating type descriptions, which is also the first attempt of integrating head-modifier rule into neural generative models",ACL,New Algorithm or Method or Technology,,,,
"We propose a syntax-infused VAE that integrates syntactic trees with sentences, to grammatically improve the generated sentences. i",ACL,New Algorithm or Method or Technology,,,,
"We propose a simple domain embedding approach to merge the sourceand target-domain training data, which is shown to be more effective than both direct corpus concatenation and multi-task learning.",ACL,Theory Proposal,,,,
We propose a domain adaptive dialog generation method based on meta-learning (DAML). DAML is an end-to-end trainable dialog system model that learns from multiple rich-resource tasks and then adapts to new domains with minimal training samples.,ACL,New Algorithm or Method or Technology,,,,
Our goal is to design a counter-argument generation system to address the above challenges and produce paragraph-level arguments with rich-yetcoherent content.,ACL,Theory Proposal,,,,
we propose a sequence-level training method based on a novel reinforcement algorithm for NAT to reduce the variance and stabilize the training procedure,ACL,New Algorithm or Method or Technology,,,,
"We propose SynGCN, a Graph Convolution based method for learning word embeddings. Unlike previous methods, SynGCN utilizes syntactic context for learning word representations without increasing vocabulary size.",ACL,New Algorithm or Method or Technology,,,,
"we demonstrate that our proposed methods obtain substantial improvement over state-of-the-art approaches, and also yield an advantage when used in conjunction with
methods",ACL,Algorithm or Method or Technology Optimization,,,,
"Based on BERT, we introduce target word embedding dropout for helping substitute candidate proposal, and a substitute candidate validation method based on the substitution’s influence on the global contexts.",ACL,New Algorithm or Method or Technology,,,,
a method for assessing the credibility of claims derived from medical usergenerated content.,ACL,New Algorithm or Method or Technology,,,,
we propose a noise-added strategy to add noise samples into the training set in the form of pseudo data,ACL,Theory Proposal,,,,
"we investigate the potential of using MT methods to normalize non-canonical texts in Turkish, a morphologically-rich, agglutinative language, allowing for a very large number of common word forms.",ACL,Performance Evaluation,,,,
", we present an improved and effective methodology to classify domain-specific freeform speech commands while utilizing this direct classification and transfer learning approaches.",ACL,Algorithm or Method or Technology Optimization,,,,
We introduce a hybrid Convolutional Neural Network (CNN) and Long Short Term Memory Network (LSTM) approach to dementia detection that takes advantage of both targeted and implicitly learned features to perform classification.,ACL,New Algorithm or Method or Technology,,,,
propose a method that uses graph embeddings for integrating structured information from the knowledge base with unstructured information from text-based representations,ACL,New Algorithm or Method or Technology,,,,
"we introduce a demo system of
our in-house OL framework, in which we integrated our translation servers with the translators
user-friendly interface SDL Trados Studio",ACL,New Algorithm or Method or Technology,,,,
"we address these limitations
by introducing a tool that provides a flexible
and efficient way to query the Semantic Scholar
knowledge base, a semi-automatically constructed
knowledge base of scientific literature",ACL,New Algorithm or Method or Technology,,,,
"We present TARGER, an open source neural argument mining framework for tagging arguments in free input texts and for keyword-based retrieval of arguments from an argument-tagged web-scale corpus",ACL,New Algorithm or Method or Technology,,,,
we have described a method to merge multiple medical terminologies into a single network preserving both terminology-specific and cross-terminology relations.,ACL,New Algorithm or Method or Technology,,,,
"developed two systems based on bidirectional encoder representations from transformers (BERT) (Devlin, Chang, Lee, & Toutanova, 2018) for the two subtasks respectively",ACL,New Algorithm or Method or Technology,,,,
We propose an iterative algorithm to form a single representation for up-to l-length walks between the entities of a pair,ACL,New Algorithm or Method or Technology,,,,
we propose to improve the end-toend coreference resolution system by using a biaffine attention model to get antecedent scores for each possible mention,ACL,Algorithm or Method or Technology Optimization,,,,
we propose the HSCRF architecture which employs both word-level and segment-level labels for segment score calculation,ACL,New Algorithm or Method or Technology,,,,
we propose a joint CRF-HSCRF training framework and a naive joint decoding algorithm for neural sequence labeling,ACL,New Algorithm or Method or Technology,,,,
"We have devised a simple but effective strategy to deal with questions having options like none of the above, two of the above, all of the above, both (a) and (b) etc",ACL,Theory Proposal,,,,
we propose a method of dynamic sentence sampling (DSS) to improve the NMT training efficiency,ACL,Algorithm or Method or Technology Optimization,,,,
we design a memory network method to capture discourse cohesion implicitly in order to improve discourse parsing,ACL,New Algorithm or Method or Technology,,,,
we apply a simple policy gradient method to train four different state-of-theart transition-based constituency parsers to maximize expected F1,ACL,Applications,,,,
